Year,Country,Sector,Budget (Million USD)
2020,USA,Solar,1500
2020,USA,Wind,1200
2020,USA,Nuclear,800
2020,Germany,Solar,1000
2020,Germany,Wind,900
2020,Germany,Hydro,300
2020,China,Solar,2000
2020,China,Wind,1800
2020,China,Coal,1000
2021,USA,Solar,1600
2021,USA,Wind,1300
2021,USA,Nuclear,850
2021,Germany,Solar,1100
2021,Germany,Wind,950
2021,Germany,Hydro,320
2021,China,Solar,2200
2021,China,Wind,1900
2021,China,Coal,950
2022,USA,Solar,1700
2022,USA,Wind,1400
2022,USA,Nuclear,900
2022,Germany,Solar,1200
2022,Germany,Wind,1000
2022,Germany,Hydro,340
2022,China,Solar,2400
2022,China,Wind,2000
2022,China,Coal,900
2023,USA,Solar,1800
2023,USA,Wind,1500
2023,USA,Nuclear,950
2023,Germany,Solar,1300
2023,Germany,Wind,1050
2023,Germany,Hydro,360
2023,China,Solar,2600
2023,China,Wind,2100
2023,China,Coal,850
2024,USA,Solar,1900
2024,USA,Wind,1600
2024,USA,Nuclear,1000
2024,Germany,Solar,1400
2024,Germany,Wind,1100
2024,Germany,Hydro,380
2024,China,Solar,2800
2024,China,Wind,2200
2024,China,Coal,800
2025,USA,Solar,2000
2025,USA,Wind,1700
2025,USA,Nuclear,1050
2025,Germany,Solar,1500
2025,Germany,Wind,1150
2025,Germany,Hydro,400
2025,China,Solar,3000
2025,China,Wind,2300
2025,China,Coal,750